Window,GridDim,Dense_Obj,Adaptive_Obj,Weights_L1_Diff,Dense_Time,Adaptive_Time,Dense_Vars,Dense_Constrs,Adaptive_Master_Blocks
6658,11,0.08703680900581384,0.08703680900581384,2.5587171270657905e-16,4.452468167,0.135679167,152612,152583,3
6658,21,0.08703680900581386,0.08703680900581384,2.5587171270657905e-16,22.072969,0.179517042,556132,556103,3
6658,31,0.08703680900581386,0.08703680900581384,0.0,79.895423333,0.263861625,1211852,1211823,3
6931,11,0.0868393757373106,0.0868393757373106,9.71445146547012e-17,4.870055958,0.11996725,152612,152583,3
6931,21,0.0868393757373106,0.0868393757373106,9.71445146547012e-17,25.388922167,0.242925,556132,556103,3
6931,31,0.0868393757373106,0.0868393757373106,9.71445146547012e-17,82.884262375,0.44756825,1211852,1211823,3
6994,11,0.08691705476680583,0.08691705476680583,0.0,5.931625459,0.131537667,152612,152583,3
6994,21,0.08691705476680585,0.08691705476680583,0.0,21.178342833,0.140658333,556132,556103,3
6994,31,0.08691705476680585,0.08691705476680583,0.0,69.270073084,0.232896041,1211852,1211823,3
7078,11,0.08725357151048443,0.08725357151048443,0.0,5.058020042,0.136131083,152612,152583,3
7078,21,0.08725357151048443,0.08725357151048445,1.734723475976807e-16,22.505515083,0.294782792,556132,556103,3
7078,31,0.08725357151048443,0.08725357151048445,2.42861286636753e-16,80.657074584,1.011227125,1211852,1211823,3
7498,11,0.0877706115664279,0.0877706115664279,0.0,6.356147333,0.133825833,152612,152583,3
7498,21,0.0877706115664279,0.0877706115664279,2.411265631607762e-16,23.655554625,0.524546792,556132,556103,3
7498,31,0.0877706115664279,0.0877706115664279,2.3245294578089215e-16,93.708482667,0.982529125,1211852,1211823,3
7624,11,0.04971076031754898,0.049710245438229286,6.929066080167343e-5,8.355974125,0.141155125,152612,152583,3
7624,21,0.04971248744594872,0.04971248744594873,1.3183898417423734e-16,28.288223459,0.240907167,556132,556103,3
7624,31,0.049712487445948715,0.04971248744594872,1.8735013540549517e-16,99.947961583,0.389233542,1211852,1211823,3
7918,11,0.03686115168721301,0.036861151687213004,7.91033905045424e-16,7.595272291,0.539124917,152612,152583,6
7918,21,0.03722632328788089,0.0372263232878809,3.469446951953614e-16,28.067269959,0.7986065,556132,556103,6
7918,31,0.03714696308179992,0.037146875736486784,2.7354696195053263e-5,105.992900125,4.303245167,1211852,1211823,6
